분류,이름,설명,가격,위치
아이템,강철검,최고급 강철로 제작된 튼튼한 검,50 금화,대장장이의 가게
아이템,체력 물약,50의 체력을 회복시키는 붉은 물약,20 금화,연금술사의 탑
아이템,마법 두루마리,기본 화염구 주문이 적힌 두루마리,100 금화,마법사의 시장
아이템,강철검,최고급 강철로 제작된 튼튼한 검,50,대장장이의 가게
아이템,체력 물약,50의 체력을 회복시키는 붉은 물약,20,연금술사의 탑
아이템,마법 두루마리,기본 화염구 주문이 적힌 두루마리,100,마법사의 시장
아이템,미스릴 갑옷,가볍고 강한 엘프 제작 갑옷,500,엘프의 대장간
아이템,신속의 장화,착용자의 이동 속도를 높이는 마법 부츠,200,마법사의 시장
아이템,용의 비늘 방패,드래곤 비늘로 만든 내열성 방패,300,드래곤 사냥꾼의 가게
아이템,냉기의 지팡이,얼음 마법을 강화하는 마법 지팡이,400,마법사의 탑
아이템,독 해독제,모든 종류의 독을 치료하는 물약,30,연금술사의 탑
아이템,투명 망토,착용자를 잠시 투명하게 만드는 망토,1000,비밀 상인
아이템,화염의 검,불꽃이 타오르는 마법 검,600,마법 대장간
아이템,정확성의 활,화살의 정확도를 높이는 엘프의 활,450,엘프의 숲
아이템,비전 안경,마법 문서를 해독하는 데 도움을 주는 안경,150,마법사의 시장
아이템,생명의 씨앗,죽은 식물을 되살리는 마법의 씨앗,80,드루이드의 오두막
아이템,번개 마법봉,번개 속성 마법을 강화하는 마법봉,550,마법사의 탑
아이템,돌격의 망치,드워프가 만든 강력한 전투용 망치,380,드워프의 광산
아이템,순간이동 반지,짧은 거리를 순간이동할 수 있는 반지,800,차원 여행사의 상점
아이템,불사조의 깃털,한 번의 부활 기회를 주는 희귀한 깃털,2000,신비한 숲 깊은 곳
아이템,용기의 목걸이,착용자의 공포 저항력을 높이는 목걸이,250,영웅의 전당
아이템,대지의 장갑,땅의 힘을 다루는 마법 장갑,420,대지의 정령사
아이템,밤의 망토,어둠 속에서 착용자를 숨겨주는 망토,350,그림자 길드
아이템,치유의 지팡이,강력한 회복 마법을 시전하는 지팡이,750,성스러운 숲
아이템,바람의 부츠,착용자를 바람처럼 빠르게 만드는 부츠,680,하늘 섬
아이템,지혜의 책,읽는 이에게 지식을 전해주는 마법서,1200,고대 도서관
아이템,광폭의 도끼,사용할수록 강해지는 저주받은 도끼,820,오크 전사의 무덤
아이템,물의 구슬,무한한 물을 만들어내는 신비한 구슬,540,인어의 동굴
아이템,햇살의 방패,빛의 힘으로 적의 공격을 막는 방패,630,태양 신전
아이템,그림자 단검,어둠 속에서 위력을 발휘하는 암살용 단검,480,암살자 길드
아이템,폭풍의 활,화살에 폭풍의 힘을 실어주는 활,920,폭풍의 봉우리
아이템,생명의 반지,착용자의 생명력을 지속적으로 회복시키는 반지,1500,생명의 나무
